County,LeftX,TopY,Width,Height
1,352797,4602981,48487,49971
3,336441,4561681,43306,36108
5,610746,4825178,52078,56808
7,489118,4532186,42929,42296
9,322507,4638381,37764,43045
11,556357,4685456,42579,56571
13,535540,4726839,42099,49515
15,401065,4678516,42523,49631
17,535396,4754600,41783,35637
19,571380,4727414,47506,49812
21,299414,4757057,47903,50363
23,494564,4754295,46821,49304
25,340341,4714352,46981,43145
27,323192,4680020,43057,50088
29,316069,4603813,43522,50110
31,634280,4652260,43214,50085
33,458863,4795939,41438,49308
35,263463,4758185,43056,50461
37,535215,4789304,41656,42580
39,410172,4560415,48198,35716
41,300616,4798703,47632,50366
43,611547,4776702,63013,56915
45,670347,4661015,68996,43925
47,276466,4681331,53691,50619
49,390259,4637030,47566,42797
51,526006,4532487,48369,42550
53,409753,4532662,48458,42652
55,612341,4728117,42637,49970
57,631358,4554983,42736,49745
59,301827,4826469,47046,36487
61,648182,4729005,63096,50183
63,342417,4825406,41790,36128
65,570875,4775998,47306,56756
67,494595,4788998,46543,42367
69,458616,4754295,41685,49304
71,251472,4536099,53604,43639
73,359533,4679212,47964,49944
75,494539,4712654,47009,42362
77,353637,4637678,47742,43036
79,417451,4713017,46939,42632
81,418026,4796303,46797,49579
83,458412,4712654,41889,42362
85,234929,4641111,62316,44281
87,604529,4561244,38232,49790
89,535032,4824009,41451,42582
91,376695,4755265,47115,35969
93,273510,4716198,36778,43317
95,556748,4636879,42666,42689
97,669676,4701834,68737,50303
99,468401,4636265,52766,42303
101,567838,4560701,43056,35805
103,593052,4637574,48366,56404
105,633619,4686960,42846,43149
107,546602,4602047,42889,49564
109,377188,4824675,47322,77617
111,605026,4526451,59147,56382
113,592413,4686152,48055,56884
115,625016,4588999,48586,42334
117,452303,4560024,42757,35444
119,691509,4828519,67553,37505
121,394770,4602257,42994,49655
123,510122,4601691,42644,49353
125,468221,4601570,47820,49239
127,478934,4677864,42133,49208
129,252636,4564032,48484,36738
131,494621,4823703,46311,42369
133,220721,4683351,63030,51364
135,489167,4559939,42732,35360
137,294306,4562736,48749,36465
139,635068,4610887,53211,36467
141,264881,4799832,42819,50464
143,266309,4827598,42183,36584
145,293343,4534979,49115,43400
147,341455,4797641,42273,50007
149,688764,4759105,73454,51086
151,340500,4755995,42514,50003
153,426739,4636567,47631,49497
155,243834,4606033,79275,51526
157,515258,4636469,47641,42490
159,372714,4533202,43406,42832
161,299215,4715412,52158,43530
163,671016,4632589,53386,43256
165,285817,4639372,47876,43479
167,692301,4800753,68345,51239
169,437404,4678106,47430,49433
171,515152,4685046,47445,56373
173,335675,4533926,43615,43043
175,373307,4560956,43131,35896
177,568097,4532948,43316,42741
179,525907,4560240,48123,35614
181,431496,4601821,42723,49443
183,583082,4602589,48382,49776
185,452081,4532271,42959,42379
187,376326,4727503,52080,56841
189,418522,4817127,46410,28759
191,570365,4824586,46987,56762
193,704916,4717852,74089,44224
195,459111,4816762,41190,28487
197,417533,4754659,47072,49576
